text,input_language,output_language
Rotator is used in areas with less water.,english,nepali
रोटेटरको प्रयोग कम पानी भएको क्षेत्रमा गरिन्छ।,nepali,english
Rotator is used in areas with less water.,english,maithili
रोटेटरक प्रयोग कम पानी वला क्षेत्र मे कएल जाइत छै।,maithili,english
Employment increased in the village from the commercial thread factory.,english,nepali
व्यावसायिक धागो कारखानाबाट गाउँमा रोजगारीको वृद्धि भयो।,nepali,english
Employment increased in the village from the commercial thread factory.,english,maithili
व्यावसायिक धागा कारखाना सँ गाम मे रोजगारक वृद्धि भेल।,maithili,english
"It is a pulp-like substance that is obtained from wood, etc.",english,nepali
यो लुदी जस्तो पदार्थ हो जुन काठ आदिबाट प्राप्त गरिन्छ।,nepali,english
"It is a pulp-like substance that is obtained from wood, etc.",english,maithili
ई लुदी जकाँ पदार्थ छै जे काठ आदि सँ प्राप्त कएल जाइत छै।,maithili,english
The trader displayed natural and artificial pearls.,english,nepali
व्यापारीले प्राकृतिक र कृत्रिम मोतीको प्रदर्शन गरे।,nepali,english
The trader displayed natural and artificial pearls.,english,maithili
व्यापारी प्राकृतिक आ कृत्रिम मोतीक प्रदर्शन केलक।,maithili,english
Many kinds of partridge dishes were available in the market.,english,nepali
बजारमा तित्राका धेरै प्रकारका परिकारहरू उपलब्ध थिए।,nepali,english
Many kinds of partridge dishes were available in the market.,english,maithili
बजार मे तितराक बहुत प्रकारक व्यंजन उपलब्ध छल।,maithili,english
"With the help of this machine, a lot of milk is milked in less time.",english,nepali
यो मेसिनको सहायताले कम समयमा धेरै दूध दुहिन्छ।,nepali,english
"With the help of this machine, a lot of milk is milked in less time.",english,maithili
ई मशीनक सहायता सँ कम समय मे बहुत दूध दुहल जाइत छै।,maithili,english
The future of agricultural machine manufacturers looks good in India.,english,nepali
भारतमा कृषि मेसिन निर्माताको भविष्य राम्रो देखिन्छ।,nepali,english
The future of agricultural machine manufacturers looks good in India.,english,maithili
भारत मे कृषि मशीन निर्माताक भविष्य नीक देखाइत छै।,maithili,english
A special type of cutter is attached to the back of the tractor.,english,nepali
ट्र्याक्टरको पछाडि एउटा विशेष प्रकारको कटर जडान गरिएको हुन्छ।,nepali,english
A special type of cutter is attached to the back of the tractor.,english,maithili
ट्रैक्टरक पाछाँ एकटा विशेष प्रकारक कटर जोड़ल गेल रहैत छै।,maithili,english
"In the village, livestock counting was done for the animals.",english,nepali
गाउँमा पशुहरूको लागि पशुधन गणना गरियो।,nepali,english
"In the village, livestock counting was done for the animals.",english,maithili
गाम मे पशु सभक लेल पशुधन गणना कएल गेल।,maithili,english
"Because of the tea garden, employment increased in the village.",english,nepali
चिया बगानले गर्दा गाउँमा रोजगारी बढ्यो।,nepali,english
"Because of the tea garden, employment increased in the village.",english,maithili
चिया बगानक कारण गाम मे रोजगार बढ़ल।,maithili,english
Domestic sheep are found in almost all states of our country.,english,nepali
घरेलु भेडा हाम्रो देशको लगभग सबै राज्यमा पाइन्छ।,nepali,english
Domestic sheep are found in almost all states of our country.,english,maithili
घरेलू भेड़ हमर देशक लगभग सब राज्य मे भेटाइत छै।,maithili,english
Genetically modified organisms have many physical properties.,english,nepali
आनुवंशिक रूपमा परिवर्तन गरिएका जीवमा धेरै शारीरिक गुण हुन्छ।,nepali,english
Genetically modified organisms have many physical properties.,english,maithili
आनुवंशिक रूप सँ परिवर्तन कएल गेल जीव मे बहुत शारीरिक गुण होइत छै।,maithili,english
This machine is used by food product manufacturers.,english,nepali
यो मेसिन खाद्य उत्पादक निर्माताहरूले प्रयोग गर्छन्।,nepali,english
This machine is used by food product manufacturers.,english,maithili
ई मशीन खाद्य उत्पादक निर्माता सभ प्रयोग करैत छै।,maithili,english
Water wastage was a matter of concern for the government.,english,nepali
पानीको बर्बादी सरकारको लागि चिन्ताको विषय थियो।,nepali,english
Water wastage was a matter of concern for the government.,english,maithili
पानीक बर्बादी सरकारक लेल चिंताक विषय छल।,maithili,english
The construction of the tractor made the work of the farmers easier.,english,nepali
ट्र्याक्टरको निर्माणले किसानहरूको काम सजिलो भयो।,nepali,english
The construction of the tractor made the work of the farmers easier.,english,maithili
ट्रैक्टरक निर्माण सँ किसान सभक काज आसान भ' गेल।,maithili,english
Meat was arranged for the crocodile's meal.,english,nepali
गोहीको भोजनको लागि मासुको व्यवस्था गरियो।,nepali,english
Meat was arranged for the crocodile's meal.,english,maithili
गोहीक भोजनक लेल मांसक व्यवस्था कएल गेल।,maithili,english
"After producing palm fruit, the farmer had to pay off the debt.",english,nepali
ताडको फल उत्पादन गरेपछि कृषकले ऋण तिर्नुपर्यो।,nepali,english
"After producing palm fruit, the farmer had to pay off the debt.",english,maithili
ताड़क फल उत्पादन करलाक बाद कृषक कें ऋण चुकाब' पड़ल।,maithili,english
"Due to lack of rain, there was drought in many places.",english,nepali
वर्षा नभएको कारणले धेरै ठाउँमा खडेरी लाग्यो।,nepali,english
"Due to lack of rain, there was drought in many places.",english,maithili
बरसात नहि भेलाक कारण बहुत जगह सूखा पड़ि गेल।,maithili,english
He bought some land to expand the garden.,english,nepali
बगैंचा विस्तार गर्नको लागि उहाँले केही जग्गा किन्नुभयो।,nepali,english
He bought some land to expand the garden.,english,maithili
बगैचा विस्तार कर'क लेल ओ किछु जमीन किनलनि।,maithili,english
"Farmers get milk, wool, eggs, etc. from animal husbandry.",english,nepali
"पशुपालनबाट कृषकले दूध, ऊन, अण्डा इत्यादि पाउँछन्।",nepali,english
"Farmers get milk, wool, eggs, etc. from animal husbandry.",english,maithili
"पशुपालन सँ कृषक कें दूध, ऊन, अंडा इत्यादि भेटैत छै।",maithili,english
Development happened in the district through the mustard factory.,english,nepali
तोरीको कारखानाको माध्यमबाट जिल्लामा विकास भयो।,nepali,english
Development happened in the district through the mustard factory.,english,maithili
तोरीक कारखानाक माध्यम सँ जिला मे विकास भेल।,maithili,english
Abeer has become very necessary for the construction of copper nets.,english,nepali
तामाको जाल निर्माणको लागि अबीर धेरै आवश्यक भइसक्यो।,nepali,english
Abeer has become very necessary for the construction of copper nets.,english,maithili
तामाक जाल निर्माणक लेल अबीर बहुत आवश्यक भ' गेल।,maithili,english
Goat intestines are used in musical instruments.,english,nepali
बाख्राको आन्द्रा वाद्ययन्त्रमा प्रयोग गरिन्छ।,nepali,english
Goat intestines are used in musical instruments.,english,maithili
बकरीक आंत वाद्ययंत्र मे प्रयोग कएल जाइत छै।,maithili,english
Farming-related festivals are held from time to time in Mithila.,english,nepali
खेती सम्बन्धी चाडपर्वहरू मिथिलामा समय-समयमा भइरहन्छन्।,nepali,english
Farming-related festivals are held from time to time in Mithila.,english,maithili
खेती संबंधी त्योहार मिथिला मे समय-समय पर होइत रहैत छै।,maithili,english
Agricultural robots are a gift of today's changing times.,english,nepali
कृषि रोबोट आजको बदलिँदो समयको देन हो।,nepali,english
Agricultural robots are a gift of today's changing times.,english,maithili
कृषि रोबोट आइ क' बदलैत समयक देन छै।,maithili,english
It is necessary to study written materials on the history of jute.,english,nepali
पटुवाको इतिहासको विषयमा लिखित सामग्रीको अध्ययन आवश्यक छ।,nepali,english
It is necessary to study written materials on the history of jute.,english,maithili
पटुआक इतिहासक विषय मे लिखित सामग्रीक अध्ययन आवश्यक छै।,maithili,english
Tissue culture is being used to speed up the production of timber.,english,nepali
इमारती काठको उत्पादनलाई गति दिन टिस्यु कल्चरको उपयोग गरिँदैछ।,nepali,english
Tissue culture is being used to speed up the production of timber.,english,maithili
इमारती काठक उत्पादन कें गति देब'क लेल टिशू कल्चरक उपयोग कएल जा रहल छै।,maithili,english
There was happiness in the village fair because of the group of animal herders.,english,nepali
पशु चराउनेहरूको समूहको कारण गाउँको मेलामा खुशियाली थियो।,nepali,english
There was happiness in the village fair because of the group of animal herders.,english,maithili
पशु चराब' वला सभक समूहक कारण गामक मेला मे खुशियाली छल।,maithili,english
There are three hundred breeds of goats available in the world.,english,nepali
संसारमा बाख्राको तीन सय प्रकारको नस्लहरू उपलब्ध छ।,nepali,english
There are three hundred breeds of goats available in the world.,english,maithili
संसार मे बकरीक तीन सौ प्रकारक नस्ल उपलब्ध छै।,maithili,english
"Hemp is used for rope, oil, cloth, etc.",english,nepali
"भाङको उपयोग डोरी, तेल, कपडा इत्यादिमा हुन्छ।",nepali,english
"Hemp is used for rope, oil, cloth, etc.",english,maithili
"भांगक उपयोग डोरी, तेल, कपड़ा इत्यादि मे होइत छै।",maithili,english
They were able to choose the best equipment from the advisor's suggestions.,english,nepali
सल्लाहकारको सुझावबाट उनीहरूले उत्तम उपकरणको चुनाव गर्न सके।,nepali,english
They were able to choose the best equipment from the advisor's suggestions.,english,maithili
सलाहकारक सुझाव सँ ओ सभ नीक उपकरणक चुनाव क' सकलाह।,maithili,english
"The main sources of gobraha paper are dung, manure, etc.",english,nepali
"गोबराहा कागजको मुख्य स्रोत गोबर, लिद इत्यादि हुन्छ।",nepali,english
"The main sources of gobraha paper are dung, manure, etc.",english,maithili
"गोबराहा कागजक मुख्य स्रोत गोबर, लिद इत्यादि होइत छै।",maithili,english
The farmer sheared the pashmina goats to get wool.,english,nepali
किसानले केशकर्तन गरेर पश्मिना बाख्राबाट ऊन प्राप्त गरे।,nepali,english
The farmer sheared the pashmina goats to get wool.,english,maithili
किसान केशकर्तन क' क' पश्मिना बकरी सँ ऊन प्राप्त केलक।,maithili,english
Excessive water exploitation occurs in factory areas.,english,nepali
पानीको अत्यधिक दोहन कारखाना भएको क्षेत्रमा हुन्छ।,nepali,english
Excessive water exploitation occurs in factory areas.,english,maithili
पानीक अत्यधिक दोहन कारखाना वला क्षेत्र मे होइत छै।,maithili,english
"Sickles, axes, trowels, etc. are used for harvesting hemp.",english,nepali
"भाङ कटनीको लागि हँसिया, टेंगारी, कुरिहर इत्यादिको उपयोग गरिन्छ।",nepali,english
"Sickles, axes, trowels, etc. are used for harvesting hemp.",english,maithili
"भांग कटनीक लेल हँसिया, टेंगारी, कुरिहर इत्यादिक उपयोग कएल जाइत छै।",maithili,english
Minimum Support Price is called न्यूनतम समर्थन मूल्य in Maithili.,english,nepali
मिनिमम सपोर्ट प्राइसलाई मैथिलीमा न्यूनतम समर्थन मूल्य भनिन्छ।,nepali,english
Minimum Support Price is called न्यूनतम समर्थन मूल्य in Maithili.,english,maithili
मिनिमम सपोर्ट प्राइस कें मैथिली मे न्यूनतम समर्थन मूल्य कहल जाइत छै।,maithili,english
Agriculture is very difficult in the mountains in remote areas.,english,nepali
दुर्गम क्षेत्रमा पहाडमा कृषि कार्य धेरै कठिन हुन्छ।,nepali,english
Agriculture is very difficult in the mountains in remote areas.,english,maithili
दुर्गम क्षेत्र मे पहाड़ पर कृषि काज बहुत कठिन होइत छै।,maithili,english
Pigeon pea seeds are transported to the factory.,english,nepali
रहरको बियाँलाई कारखानासम्म पुर्‍याइन्छ।,nepali,english
Pigeon pea seeds are transported to the factory.,english,maithili
रहरक बीया कें कारखाना तक पहुँचाओल जाइत छै।,maithili,english
Some benefits can be obtained from limited coffee consumption.,english,nepali
कफीको सीमित सेवनबाट केही फाइदा हुन सक्छ।,nepali,english
Some benefits can be obtained from limited coffee consumption.,english,maithili
कफीकेँ सिमित सेवन सँ किछु फायदा भऽ सकैत अछि।,maithili,english
Agricultural materials can be imported and exported through government certificates.,english,nepali
सरकारी प्रमाणपत्रको माध्यमबाट कृषि सामग्रीको आयात निर्यात गर्न सकिन्छ।,nepali,english
Agricultural materials can be imported and exported through government certificates.,english,maithili
सरकारी प्रमाणपत्रक माध्यम सँ कृषि सामग्रीक आयात निर्यात कएल जा सकैत अछि।,maithili,english
Farmers take their animals to the fields to graze.,english,nepali
किसानहरू आफ्नो पशुलाई खेतमा चराउनको लागि लैजान्छन्।,nepali,english
Farmers take their animals to the fields to graze.,english,maithili
किसान अपन पशुकेँ खेतमे चरावे लेल लऽ जाइत छथि।,maithili,english
Market price is determined by supply and demand.,english,nepali
बजार मूल्य माग र आपूर्तिबाट निर्धारण हुन्छ।,nepali,english
Market price is determined by supply and demand.,english,maithili
बजार मूल्य मांग आ आपूर्तिकेँ आधार पर तय होइत छै।,maithili,english
The goods are tied from both sides by placing them in the middle of the nadi.,english,nepali
नादीको बीचमा राखेर दुवैतिरबाट माललाई बाँधिन्छ।,nepali,english
The goods are tied from both sides by placing them in the middle of the nadi.,english,maithili
नादीकेँ बीचमे राखि दुनु तरफ सँ माल बाँधल जाइत छै।,maithili,english
Pure and cool water can be obtained from the well.,english,nepali
इनारबाट शुद्ध र शीतल जल प्राप्त गर्न सकिन्छ।,nepali,english
Pure and cool water can be obtained from the well.,english,maithili
कुआँ सँ शुद्ध आ शीतल जल प्राप्त कएल जा सकैत अछि।,maithili,english
Natural fiber is used for both eating and wearing.,english,nepali
प्राकृतिक रेशा खान र लगाउन दुवैमा उपयोग हुन्छ।,nepali,english
Natural fiber is used for both eating and wearing.,english,maithili
प्राकृतिक रेशा खाए आ पहिरए दुनूमे उपयोग होइत छै।,maithili,english
The milk pipeline should be checked from time to time.,english,nepali
दूधको पाइपलाइनलाई समय समयमा जाँच गरिरहनुपर्छ।,nepali,english
The milk pipeline should be checked from time to time.,english,maithili
दूधकेँ पाइपलाइनकेँ समय-समय पर जाँच करैत रहबाक चाही।,maithili,english
"India ranks first in the cultivation of sapota, lemon, and cashew.",english,nepali
"चीकू, नेमो, काजू यी सबै उपजाउनमा भारतको स्थान पहिलो छ।",nepali,english
"India ranks first in the cultivation of sapota, lemon, and cashew.",english,maithili
"चीकू, नेमो, काजू ई सभ उपजाएमे भारतक स्थान पहिल अछि।",maithili,english
India ranks second in rice cultivation worldwide.,english,nepali
संसारभरि चामल उपजाउनमा भारतको दोस्रो नम्बर छ।,nepali,english
India ranks second in rice cultivation worldwide.,english,maithili
दुनिया भरिमे चावल उपजाएमे भारतक दोसर नंबर अछि।,maithili,english
"During harvest time, crops are cut and grains are collected.",english,nepali
बाली काट्ने बेलामा कुनै पनि बाली काटेर अन्न जम्मा गरिन्छ।,nepali,english
"During harvest time, crops are cut and grains are collected.",english,maithili
बाली काटएकेँ समयमे कोनो बाली काटि अन्न जमा कएल जाइत छै।,maithili,english
"Even in villages, jute farming is not done anymore, that was a natural fiber.",english,nepali
"गाउँघरमा पनि अब जुटको खेती हुँदैन, त्यो प्राकृतिक रेशा थियो।",nepali,english
"Even in villages, jute farming is not done anymore, that was a natural fiber.",english,maithili
"गामघरमे सेहो आब जूटकेँ खेती नइँ होइत छै, ओ प्राकृतिक रेशा छल।",maithili,english
"Turnip is a root vegetable, which is grown in temperate climates.",english,nepali
"सलगम बोटको जरा हुने तरकारी हो, जुन टेम्परेट हावापानीमा उब्जाइन्छ।",nepali,english
"Turnip is a root vegetable, which is grown in temperate climates.",english,maithili
"शलगम गाछिक जड़ि होए वाला तरकारी छी, जे टेम्परेट हवापानीमे उपजाएल जाइत छै।",maithili,english
"In India, bananas are the most produced food item, followed by rice and wheat in second and third place.",english,nepali
"भारतमा खाद्य वस्तुहरूमा केरा सबैभन्दा बढी उब्जाइन्छ, धान गहुँ दोस्रो तेस्रो नम्बरमा पर्छन्।",nepali,english
"In India, bananas are the most produced food item, followed by rice and wheat in second and third place.",english,maithili
"भारतमे खाद्य वस्तुमे केला सभसँ बेसी उपजाएल जाइत छै, धान गेहूं दोसर तेसर नंबर पर पड़ैत छै।",maithili,english
"Timber, veneer, plywood and furniture are products of the wood industry.",english,nepali
"टिम्बर, विनीर, प्लाईवुड र फर्निचर काठ उद्योगका उत्पादन हुन्।",nepali,english
"Timber, veneer, plywood and furniture are products of the wood industry.",english,maithili
"टिम्बर, विनीर, प्लाईवुड आ फर्नीचर काठ उद्योगक उत्पादन छी।",maithili,english
Gas and water are found under the soil.,english,nepali
माटोमुनि ग्यास र पानी पाइन्छ।,nepali,english
Gas and water are found under the soil.,english,maithili
माटिक नीचाँ गैस आ पानी भेटैत छै।,maithili,english
"Due to excessive exploitation, the groundwater level is getting disturbed.",english,nepali
अत्यधिक दोहनका कारण भूमिगत जलस्तर गडबड भइरहेको छ।,nepali,english
"Due to excessive exploitation, the groundwater level is getting disturbed.",english,maithili
अत्यधिक दोहनकेँ कारण भूमिगत जलस्तर गड़बड़ भऽ रहल छै।,maithili,english
Paper is used for printing research articles.,english,nepali
कागज अनुसन्धान लेख छाप्नका लागि प्रयोग गरिन्छ।,nepali,english
Paper is used for printing research articles.,english,maithili
कागज अनुसंधान लेख छापै लेल प्रयोग कएल जाइत छै।,maithili,english
Rural people were given knowledge of crisis management.,english,nepali
ग्रामीण मानिसहरूलाई संकट व्यवस्थापनको ज्ञान दिइयो।,nepali,english
Rural people were given knowledge of crisis management.,english,maithili
ग्रामीण लोककेँ संकट प्रबंधनक ज्ञान देल गेल।,maithili,english
The waste from slaughtered chickens is taken to fish hatcheries.,english,nepali
कुखुरा काटेपछि निस्कने फोहोर माछाको ह्याचरीमा पुर्‍याइन्छ।,nepali,english
The waste from slaughtered chickens is taken to fish hatcheries.,english,maithili
कुक्कुर काटलाक बाद निकलए वाला फोहोर मछलिक हैचरीमे पहुँचाएल जाइत छै।,maithili,english
A midday meal program was started in the village school.,english,nepali
गाउँको विद्यालयमा मध्याह्न भोजन योजना सुरु गरियो।,nepali,english
A midday meal program was started in the village school.,english,maithili
गामक स्कूलमे मध्याह्न भोजन योजना शुरू कएल गेल।,maithili,english
Livestock farmers use grass or turf cutting machines.,english,nepali
घाँस वा दुबो काट्ने मेसिनको उपयोग पशुपालकहरूले गर्छन्।,nepali,english
Livestock farmers use grass or turf cutting machines.,english,maithili
घाँस वा दुब काटए वाला मशीनक उपयोग पशुपालक करैत छथि।,maithili,english
Farmers saved water through micro-irrigation.,english,nepali
सूक्ष्म सिँचाइले किसानहरूले पानीको बचत गरे।,nepali,english
Farmers saved water through micro-irrigation.,english,maithili
सूक्ष्म सिंचाई सँ किसान पानीक बचत केलनि।,maithili,english
The driver of a JCB must have a lot of patience.,english,nepali
जेसीबीको चालकले धेरै धैर्य राख्नुपर्छ।,nepali,english
The driver of a JCB must have a lot of patience.,english,maithili
जेसीबी चलावे वालाकेँ बहुत धैर्य राखए पड़ैत छै।,maithili,english
A cow's calf needs a lot of care.,english,nepali
गाईको बाछाको धेरै ध्यान राख्नुपर्छ।,nepali,english
A cow's calf needs a lot of care.,english,maithili
गाइक बाछाकेँ बहुत ध्यान राखए पड़ैत छै।,maithili,english
Many different types of natural materials are available on Earth.,english,nepali
पृथ्वीमा धेरै भिन्न-भिन्न प्रकारका प्राकृतिक सामग्री उपलब्ध छन्।,nepali,english
Many different types of natural materials are available on Earth.,english,maithili
पृथ्वी पर बहुत भिन्न-भिन्न प्रकारक प्राकृतिक सामग्री उपलब्ध अछि।,maithili,english
The government created the Pradhan Mantri Fasal Bima Yojana (Prime Minister's Crop Insurance Scheme) for farmers.,english,nepali
सरकारले किसानका लागि प्रधानमन्त्री फसल बीमा योजना बनायो।,nepali,english
The government created the Pradhan Mantri Fasal Bima Yojana (Prime Minister's Crop Insurance Scheme) for farmers.,english,maithili
सरकार किसान लेल प्रधानमंत्री फसल बीमा योजना बनेलकै।,maithili,english
The process of obtaining wool from sheep can be painful.,english,nepali
भेडाबाट ऊन प्राप्त गर्ने प्रक्रिया कष्टदायी हुन सक्छ।,nepali,english
The process of obtaining wool from sheep can be painful.,english,maithili
भेड़ सँ ऊन प्राप्त करएकेँ प्रक्रिया कष्टदायी भऽ सकैत छै।,maithili,english
The landlord hired many workers for the tea garden.,english,nepali
चिया बगानको लागि साहुकारले धेरै श्रमिकको नियुक्ति गर्यो।,nepali,english
The landlord hired many workers for the tea garden.,english,maithili
चिया बगान लेल साहूकार बहुत श्रमिककेँ नियुक्ति केलकै।,maithili,english
Rainwater is used in various types of work.,english,nepali
वर्षाको पानीको उपयोग विभिन्न प्रकारका काममा हुन्छ।,nepali,english
Rainwater is used in various types of work.,english,maithili
बरसातकेँ पानीक उपयोग विभिन्न प्रकारक काजमे होइत छै।,maithili,english
"This time, the flood destroyed a lot of crops.",english,nepali
बाढीले गर्दा यसपालि धेरै बाली नास भयो।,nepali,english
"This time, the flood destroyed a lot of crops.",english,maithili
बाढ़िकेँ कारण एहि बेर बहुत बाली नास भऽ गेल।,maithili,english
People used herbicide to clear the moss from their village pond.,english,nepali
मान्छेहरूले आफ्नो गाउँको पोखरीलाई झ्याउमुक्त बनाउन झ्याउनाशक औषधि प्रयोग गरे।,nepali,english
People used herbicide to clear the moss from their village pond.,english,maithili
लोक अपन गामक पोखरिकेँ झ्याउमुक्त बनावे लेल झ्याउनाशक दवाई प्रयोग केलनि।,maithili,english
Alpacas are found in large numbers in Peru.,english,nepali
पेरु देशमा अल्पाका धेरै संख्यामा पाइन्छ।,nepali,english
Alpacas are found in large numbers in Peru.,english,maithili
पेरू देशमे अल्पाका बहुत संख्यामे भेटैत छै।,maithili,english
Consuming less biofuel causes less damage to the environment.,english,nepali
जैविक इन्धनको खपत कम गर्दा वातावरणलाई कम क्षति हुन्छ।,nepali,english
Consuming less biofuel causes less damage to the environment.,english,maithili
जैविक ईंधनक खपत कम केला सँ वातावरणकेँ कम क्षति होइत छै।,maithili,english
Climate change affected the flowers a lot.,english,nepali
जलवायु परिवर्तनले फूललाई धेरै असर गर्यो।,nepali,english
Climate change affected the flowers a lot.,english,maithili
जलवायु परिवर्तन सँ फूलकेँ बहुत असर भेल।,maithili,english
Chemicals are needed to make paper.,english,nepali
कागज बनाउनको लागि रासायनिक पदार्थ चाहिन्छ।,nepali,english
Chemicals are needed to make paper.,english,maithili
कागज बनावे लेल रासायनिक पदार्थ चाही।,maithili,english
The government gave loans to farmers in Punjab for rice farming.,english,nepali
पंजाब राज्यमा धान खेतीको लागि सरकारले किसानलाई ऋण दियो।,nepali,english
The government gave loans to farmers in Punjab for rice farming.,english,maithili
पंजाब राज्यमे धान खेती लेल सरकार किसानकेँ ऋण देलकै।,maithili,english
Farmers have to work as laborers to repay the loan.,english,nepali
ऋण तिर्नको लागि किसानले ज्याला मजदुरी गर्नुपर्छ।,nepali,english
Farmers have to work as laborers to repay the loan.,english,maithili
ऋण चुकावे लेल किसानकेँ ज्याला मजदूरी करए पड़ैत छै।,maithili,english
Paper is also used as packing material.,english,nepali
प्याकिङको सामानको रूपमा पनि कागजको प्रयोग गरिन्छ।,nepali,english
Paper is also used as packing material.,english,maithili
पैकिंगकेँ सामानकेँ रूपमे सेहो कागजक प्रयोग कएल जाइत छै।,maithili,english
Seed banks have been established in rural areas of India.,english,nepali
भारतमा ग्रामीण क्षेत्रमा बीउ बैंकको स्थापना गरिएको छ।,nepali,english
Seed banks have been established in rural areas of India.,english,maithili
भारतमे ग्रामीण क्षेत्रमे बीउ बैंकक स्थापना कएल गेल छै।,maithili,english
Pure and cold water can be found in wells.,english,nepali
इनारबाट शुद्ध र चिसो पानी पाउन सकिन्छ।,nepali,english
Pure and cold water can be found in wells.,english,maithili
कुआँ सँ शुद्ध आ ठंडा पानी भेट सकैत अछि।,maithili,english
The job of the Agricultural Produce Market Committee is to determine fair prices.,english,nepali
कृषि उपज बजार समितिको काम उचित मूल्य निर्धारण गर्नु हो।,nepali,english
The job of the Agricultural Produce Market Committee is to determine fair prices.,english,maithili
कृषि उपज बाजार समितिक काज उचित मूल्य निर्धारण करनाइ होइत छै।,maithili,english
Sandy soil is considered a very good soil in India.,english,nepali
बलौटे माटो भारतमा धेरै राम्रो माटो मानिन्छ।,nepali,english
Sandy soil is considered a very good soil in India.,english,maithili
बलुआ माटि भारतमे बहुत नीक माटि मानल जाइत छै।,maithili,english
Wool is sheared from a sheep's body once a year.,english,nepali
भेडाको शरीरबाट वर्षमा एक पटक ऊन काटिन्छ।,nepali,english
Wool is sheared from a sheep's body once a year.,english,maithili
भेड़केँ शरीर सँ वर्षमे एक बेर ऊन काटल जाइत छै।,maithili,english
Good feed is necessary for cow's milk production.,english,nepali
राम्रो खाद्य पदार्थ गाईको दूध उत्पादनको लागि आवश्यक हुन्छ।,nepali,english
Good feed is necessary for cow's milk production.,english,maithili
नीक खाद्य पदार्थ गाईकेँ दूध उत्पादन लेल आवश्यक होइत छै।,maithili,english
Using biogas can conserve old biofuels.,english,nepali
बायो ग्यासको प्रयोगले पुरानो जैविक इन्धनको संरक्षण हुन सक्छ।,nepali,english
Using biogas can conserve old biofuels.,english,maithili
बायो गैसकेँ प्रयोग सँ पुरान जैविक ईंधनक संरक्षण भऽ सकैत छै।,maithili,english
The Ministry of Energy examined the negative effects of biofuels.,english,nepali
