input_text,language
"To stop forest exploitation, protection from deforestation is necessary.",english
वनको शोषण रोक्न वन विनाशबाट सुरक्षाको लागि आवश्यक छ।,nepali
"To stop forest exploitation, protection from deforestation is necessary.",english
जंगलक शोषण रोक'क लेल वन विनाश सँ सुरक्षाक लेल आवश्यक छै।,maithili
Crop harvesting is done in two ways.,english
बालीको कटाई दुई तरिकाले हुन्छ।,nepali
Crop harvesting is done in two ways.,english
बालीक कटाई दू तरीका सँ होइत छै।,maithili
"With the help of some weeds, plant health increases.",english
केही झारपातको सहायताले बोटको स्वास्थ्यमा वृद्धि हुन्छ।,nepali
"With the help of some weeds, plant health increases.",english
किछु झारपातक सहायता सँ गाछक स्वास्थ्य मे वृद्धि होइत छै।,maithili
Rotator is used in areas with less water.,english
रोटेटरको प्रयोग कम पानी भएको क्षेत्रमा गरिन्छ।,nepali
Rotator is used in areas with less water.,english
रोटेटरक प्रयोग कम पानी वला क्षेत्र मे कएल जाइत छै।,maithili
Employment increased in the village from the commercial thread factory.,english
व्यावसायिक धागो कारखानाबाट गाउँमा रोजगारीको वृद्धि भयो।,nepali
Employment increased in the village from the commercial thread factory.,english
व्यावसायिक धागा कारखाना सँ गाम मे रोजगारक वृद्धि भेल।,maithili
"It is a pulp-like substance that is obtained from wood, etc.",english
यो लुदी जस्तो पदार्थ हो जुन काठ आदिबाट प्राप्त गरिन्छ।,nepali
"It is a pulp-like substance that is obtained from wood, etc.",english
ई लुदी जकाँ पदार्थ छै जे काठ आदि सँ प्राप्त कएल जाइत छै।,maithili
The trader displayed natural and artificial pearls.,english
व्यापारीले प्राकृतिक र कृत्रिम मोतीको प्रदर्शन गरे।,nepali
The trader displayed natural and artificial pearls.,english
व्यापारी प्राकृतिक आ कृत्रिम मोतीक प्रदर्शन केलक।,maithili
Many kinds of partridge dishes were available in the market.,english
बजारमा तित्राका धेरै प्रकारका परिकारहरू उपलब्ध थिए।,nepali
Many kinds of partridge dishes were available in the market.,english
बजार मे तितराक बहुत प्रकारक व्यंजन उपलब्ध छल।,maithili
"With the help of this machine, a lot of milk is milked in less time.",english
यो मेसिनको सहायताले कम समयमा धेरै दूध दुहिन्छ।,nepali
"With the help of this machine, a lot of milk is milked in less time.",english
ई मशीनक सहायता सँ कम समय मे बहुत दूध दुहल जाइत छै।,maithili
The future of agricultural machine manufacturers looks good in India.,english
भारतमा कृषि मेसिन निर्माताको भविष्य राम्रो देखिन्छ।,nepali
The future of agricultural machine manufacturers looks good in India.,english
भारत मे कृषि मशीन निर्माताक भविष्य नीक देखाइत छै।,maithili
A special type of cutter is attached to the back of the tractor.,english
ट्र्याक्टरको पछाडि एउटा विशेष प्रकारको कटर जडान गरिएको हुन्छ।,nepali
A special type of cutter is attached to the back of the tractor.,english
ट्रैक्टरक पाछाँ एकटा विशेष प्रकारक कटर जोड़ल गेल रहैत छै।,maithili
"In the village, livestock counting was done for the animals.",english
गाउँमा पशुहरूको लागि पशुधन गणना गरियो।,nepali
"In the village, livestock counting was done for the animals.",english
गाम मे पशु सभक लेल पशुधन गणना कएल गेल।,maithili
"Because of the tea garden, employment increased in the village.",english
चिया बगानले गर्दा गाउँमा रोजगारी बढ्यो।,nepali
"Because of the tea garden, employment increased in the village.",english
चिया बगानक कारण गाम मे रोजगार बढ़ल।,maithili
Domestic sheep are found in almost all states of our country.,english
घरेलु भेडा हाम्रो देशको लगभग सबै राज्यमा पाइन्छ।,nepali
Domestic sheep are found in almost all states of our country.,english
घरेलू भेड़ हमर देशक लगभग सब राज्य मे भेटाइत छै।,maithili
Genetically modified organisms have many physical properties.,english
आनुवंशिक रूपमा परिवर्तन गरिएका जीवमा धेरै शारीरिक गुण हुन्छ।,nepali
Genetically modified organisms have many physical properties.,english
आनुवंशिक रूप सँ परिवर्तन कएल गेल जीव मे बहुत शारीरिक गुण होइत छै।,maithili
This machine is used by food product manufacturers.,english
यो मेसिन खाद्य उत्पादक निर्माताहरूले प्रयोग गर्छन्।,nepali
This machine is used by food product manufacturers.,english
ई मशीन खाद्य उत्पादक निर्माता सभ प्रयोग करैत छै।,maithili
Water wastage was a matter of concern for the government.,english
पानीको बर्बादी सरकारको लागि चिन्ताको विषय थियो।,nepali
Water wastage was a matter of concern for the government.,english
पानीक बर्बादी सरकारक लेल चिंताक विषय छल।,maithili
The construction of the tractor made the work of the farmers easier.,english
ट्र्याक्टरको निर्माणले किसानहरूको काम सजिलो भयो।,nepali
The construction of the tractor made the work of the farmers easier.,english
ट्रैक्टरक निर्माण सँ किसान सभक काज आसान भ' गेल।,maithili
Meat was arranged for the crocodile's meal.,english
गोहीको भोजनको लागि मासुको व्यवस्था गरियो।,nepali
Meat was arranged for the crocodile's meal.,english
गोहीक भोजनक लेल मांसक व्यवस्था कएल गेल।,maithili
"After producing palm fruit, the farmer had to pay off the debt.",english
ताडको फल उत्पादन गरेपछि कृषकले ऋण तिर्नुपर्यो।,nepali
"After producing palm fruit, the farmer had to pay off the debt.",english
ताड़क फल उत्पादन करलाक बाद कृषक कें ऋण चुकाब' पड़ल।,maithili
"Due to lack of rain, there was drought in many places.",english
वर्षा नभएको कारणले धेरै ठाउँमा खडेरी लाग्यो।,nepali
"Due to lack of rain, there was drought in many places.",english
बरसात नहि भेलाक कारण बहुत जगह सूखा पड़ि गेल।,maithili
He bought some land to expand the garden.,english
बगैंचा विस्तार गर्नको लागि उहाँले केही जग्गा किन्नुभयो।,nepali
He bought some land to expand the garden.,english
बगैचा विस्तार कर'क लेल ओ किछु जमीन किनलनि।,maithili
"Farmers get milk, wool, eggs, etc. from animal husbandry.",english
"पशुपालनबाट कृषकले दूध, ऊन, अण्डा इत्यादि पाउँछन्।",nepali
"Farmers get milk, wool, eggs, etc. from animal husbandry.",english
"पशुपालन सँ कृषक कें दूध, ऊन, अंडा इत्यादि भेटैत छै।",maithili
Development happened in the district through the mustard factory.,english
तोरीको कारखानाको माध्यमबाट जिल्लामा विकास भयो।,nepali
Development happened in the district through the mustard factory.,english
तोरीक कारखानाक माध्यम सँ जिला मे विकास भेल।,maithili
Abeer has become very necessary for the construction of copper nets.,english
तामाको जाल निर्माणको लागि अबीर धेरै आवश्यक भइसक्यो।,nepali
Abeer has become very necessary for the construction of copper nets.,english
तामाक जाल निर्माणक लेल अबीर बहुत आवश्यक भ' गेल।,maithili
Goat intestines are used in musical instruments.,english
बाख्राको आन्द्रा वाद्ययन्त्रमा प्रयोग गरिन्छ।,nepali
Goat intestines are used in musical instruments.,english
बकरीक आंत वाद्ययंत्र मे प्रयोग कएल जाइत छै।,maithili
Farming-related festivals are held from time to time in Mithila.,english
खेती सम्बन्धी चाडपर्वहरू मिथिलामा समय-समयमा भइरहन्छन्।,nepali
Farming-related festivals are held from time to time in Mithila.,english
खेती संबंधी त्योहार मिथिला मे समय-समय पर होइत रहैत छै।,maithili
Agricultural robots are a gift of today's changing times.,english
कृषि रोबोट आजको बदलिँदो समयको देन हो।,nepali
Agricultural robots are a gift of today's changing times.,english
कृषि रोबोट आइ क' बदलैत समयक देन छै।,maithili
It is necessary to study written materials on the history of jute.,english
पटुवाको इतिहासको विषयमा लिखित सामग्रीको अध्ययन आवश्यक छ।,nepali
It is necessary to study written materials on the history of jute.,english
पटुआक इतिहासक विषय मे लिखित सामग्रीक अध्ययन आवश्यक छै।,maithili
Tissue culture is being used to speed up the production of timber.,english
इमारती काठको उत्पादनलाई गति दिन टिस्यु कल्चरको उपयोग गरिँदैछ।,nepali
Tissue culture is being used to speed up the production of timber.,english
इमारती काठक उत्पादन कें गति देब'क लेल टिशू कल्चरक उपयोग कएल जा रहल छै।,maithili
There was happiness in the village fair because of the group of animal herders.,english
पशु चराउनेहरूको समूहको कारण गाउँको मेलामा खुशियाली थियो।,nepali
There was happiness in the village fair because of the group of animal herders.,english
पशु चराब' वला सभक समूहक कारण गामक मेला मे खुशियाली छल।,maithili
There are three hundred breeds of goats available in the world.,english
संसारमा बाख्राको तीन सय प्रकारको नस्लहरू उपलब्ध छ।,nepali
There are three hundred breeds of goats available in the world.,english
संसार मे बकरीक तीन सौ प्रकारक नस्ल उपलब्ध छै।,maithili
"Hemp is used for rope, oil, cloth, etc.",english
"भाङको उपयोग डोरी, तेल, कपडा इत्यादिमा हुन्छ।",nepali
"Hemp is used for rope, oil, cloth, etc.",english
"भांगक उपयोग डोरी, तेल, कपड़ा इत्यादि मे होइत छै।",maithili
They were able to choose the best equipment from the advisor's suggestions.,english
सल्लाहकारको सुझावबाट उनीहरूले उत्तम उपकरणको चुनाव गर्न सके।,nepali
They were able to choose the best equipment from the advisor's suggestions.,english
सलाहकारक सुझाव सँ ओ सभ नीक उपकरणक चुनाव क' सकलाह।,maithili
"The main sources of gobraha paper are dung, manure, etc.",english
"गोबराहा कागजको मुख्य स्रोत गोबर, लिद इत्यादि हुन्छ।",nepali
"The main sources of gobraha paper are dung, manure, etc.",english
"गोबराहा कागजक मुख्य स्रोत गोबर, लिद इत्यादि होइत छै।",maithili
The farmer sheared the pashmina goats to get wool.,english
किसानले केशकर्तन गरेर पश्मिना बाख्राबाट ऊन प्राप्त गरे।,nepali
The farmer sheared the pashmina goats to get wool.,english
किसान केशकर्तन क' क' पश्मिना बकरी सँ ऊन प्राप्त केलक।,maithili
Excessive water exploitation occurs in factory areas.,english
पानीको अत्यधिक दोहन कारखाना भएको क्षेत्रमा हुन्छ।,nepali
Excessive water exploitation occurs in factory areas.,english
पानीक अत्यधिक दोहन कारखाना वला क्षेत्र मे होइत छै।,maithili
"Sickles, axes, trowels, etc. are used for harvesting hemp.",english
"भाङ कटनीको लागि हँसिया, टेंगारी, कुरिहर इत्यादिको उपयोग गरिन्छ।",nepali
"Sickles, axes, trowels, etc. are used for harvesting hemp.",english
"भांग कटनीक लेल हँसिया, टेंगारी, कुरिहर इत्यादिक उपयोग कएल जाइत छै।",maithili
Minimum Support Price is called न्यूनतम समर्थन मूल्य in Maithili.,english
मिनिमम सपोर्ट प्राइसलाई मैथिलीमा न्यूनतम समर्थन मूल्य भनिन्छ।,nepali
Minimum Support Price is called न्यूनतम समर्थन मूल्य in Maithili.,english
मिनिमम सपोर्ट प्राइस कें मैथिली मे न्यूनतम समर्थन मूल्य कहल जाइत छै।,maithili
Agriculture is very difficult in the mountains in remote areas.,english
दुर्गम क्षेत्रमा पहाडमा कृषि कार्य धेरै कठिन हुन्छ।,nepali
Agriculture is very difficult in the mountains in remote areas.,english
दुर्गम क्षेत्र मे पहाड़ पर कृषि काज बहुत कठिन होइत छै।,maithili
Pigeon pea seeds are transported to the factory.,english
रहरको बियाँलाई कारखानासम्म पुर्‍याइन्छ।,nepali
Pigeon pea seeds are transported to the factory.,english
रहरक बीया कें कारखाना तक पहुँचाओल जाइत छै।,maithili
Some benefits can be obtained from limited coffee consumption.,english
कफीको सीमित सेवनबाट केही फाइदा हुन सक्छ।,nepali
Some benefits can be obtained from limited coffee consumption.,english
कफीकेँ सिमित सेवन सँ किछु फायदा भऽ सकैत अछि।,maithili
Agricultural materials can be imported and exported through government certificates.,english
सरकारी प्रमाणपत्रको माध्यमबाट कृषि सामग्रीको आयात निर्यात गर्न सकिन्छ।,nepali
Agricultural materials can be imported and exported through government certificates.,english
सरकारी प्रमाणपत्रक माध्यम सँ कृषि सामग्रीक आयात निर्यात कएल जा सकैत अछि।,maithili
Farmers take their animals to the fields to graze.,english
किसानहरू आफ्नो पशुलाई खेतमा चराउनको लागि लैजान्छन्।,nepali
Farmers take their animals to the fields to graze.,english
किसान अपन पशुकेँ खेतमे चरावे लेल लऽ जाइत छथि।,maithili
Market price is determined by supply and demand.,english
बजार मूल्य माग र आपूर्तिबाट निर्धारण हुन्छ।,nepali
Market price is determined by supply and demand.,english
बजार मूल्य मांग आ आपूर्तिकेँ आधार पर तय होइत छै।,maithili
The goods are tied from both sides by placing them in the middle of the nadi.,english
नादीको बीचमा राखेर दुवैतिरबाट माललाई बाँधिन्छ।,nepali
The goods are tied from both sides by placing them in the middle of the nadi.,english
नादीकेँ बीचमे राखि दुनु तरफ सँ माल बाँधल जाइत छै।,maithili
Pure and cool water can be obtained from the well.,english
इनारबाट शुद्ध र शीतल जल प्राप्त गर्न सकिन्छ।,nepali
Pure and cool water can be obtained from the well.,english
कुआँ सँ शुद्ध आ शीतल जल प्राप्त कएल जा सकैत अछि।,maithili
Natural fiber is used for both eating and wearing.,english
प्राकृतिक रेशा खान र लगाउन दुवैमा उपयोग हुन्छ।,nepali
Natural fiber is used for both eating and wearing.,english
प्राकृतिक रेशा खाए आ पहिरए दुनूमे उपयोग होइत छै।,maithili
The milk pipeline should be checked from time to time.,english
दूधको पाइपलाइनलाई समय समयमा जाँच गरिरहनुपर्छ।,nepali
The milk pipeline should be checked from time to time.,english
दूधकेँ पाइपलाइनकेँ समय-समय पर जाँच करैत रहबाक चाही।,maithili
"India ranks first in the cultivation of sapota, lemon, and cashew.",english
"चीकू, नेमो, काजू यी सबै उपजाउनमा भारतको स्थान पहिलो छ।",nepali
"India ranks first in the cultivation of sapota, lemon, and cashew.",english
"चीकू, नेमो, काजू ई सभ उपजाएमे भारतक स्थान पहिल अछि।",maithili
India ranks second in rice cultivation worldwide.,english
संसारभरि चामल उपजाउनमा भारतको दोस्रो नम्बर छ।,nepali
India ranks second in rice cultivation worldwide.,english
दुनिया भरिमे चावल उपजाएमे भारतक दोसर नंबर अछि।,maithili
"During harvest time, crops are cut and grains are collected.",english
बाली काट्ने बेलामा कुनै पनि बाली काटेर अन्न जम्मा गरिन्छ।,nepali
"During harvest time, crops are cut and grains are collected.",english
बाली काटएकेँ समयमे कोनो बाली काटि अन्न जमा कएल जाइत छै।,maithili
"Even in villages, jute farming is not done anymore, that was a natural fiber.",english
"गाउँघरमा पनि अब जुटको खेती हुँदैन, त्यो प्राकृतिक रेशा थियो।",nepali
"Even in villages, jute farming is not done anymore, that was a natural fiber.",english
"गामघरमे सेहो आब जूटकेँ खेती नइँ होइत छै, ओ प्राकृतिक रेशा छल।",maithili
"Turnip is a root vegetable, which is grown in temperate climates.",english
"सलगम बोटको जरा हुने तरकारी हो, जुन टेम्परेट हावापानीमा उब्जाइन्छ।",nepali
"Turnip is a root vegetable, which is grown in temperate climates.",english
"शलगम गाछिक जड़ि होए वाला तरकारी छी, जे टेम्परेट हवापानीमे उपजाएल जाइत छै।",maithili
"In India, bananas are the most produced food item, followed by rice and wheat in second and third place.",english
"भारतमा खाद्य वस्तुहरूमा केरा सबैभन्दा बढी उब्जाइन्छ, धान गहुँ दोस्रो तेस्रो नम्बरमा पर्छन्।",nepali
"In India, bananas are the most produced food item, followed by rice and wheat in second and third place.",english
"भारतमे खाद्य वस्तुमे केला सभसँ बेसी उपजाएल जाइत छै, धान गेहूं दोसर तेसर नंबर पर पड़ैत छै।",maithili
"Timber, veneer, plywood and furniture are products of the wood industry.",english
"टिम्बर, विनीर, प्लाईवुड र फर्निचर काठ उद्योगका उत्पादन हुन्।",nepali
"Timber, veneer, plywood and furniture are products of the wood industry.",english
"टिम्बर, विनीर, प्लाईवुड आ फर्नीचर काठ उद्योगक उत्पादन छी।",maithili
Gas and water are found under the soil.,english
माटोमुनि ग्यास र पानी पाइन्छ।,nepali
Gas and water are found under the soil.,english
माटिक नीचाँ गैस आ पानी भेटैत छै।,maithili
"Due to excessive exploitation, the groundwater level is getting disturbed.",english
अत्यधिक दोहनका कारण भूमिगत जलस्तर गडबड भइरहेको छ।,nepali
"Due to excessive exploitation, the groundwater level is getting disturbed.",english
अत्यधिक दोहनकेँ कारण भूमिगत जलस्तर गड़बड़ भऽ रहल छै।,maithili
Paper is used for printing research articles.,english
कागज अनुसन्धान लेख छाप्नका लागि प्रयोग गरिन्छ।,nepali
Paper is used for printing research articles.,english
कागज अनुसंधान लेख छापै लेल प्रयोग कएल जाइत छै।,maithili
Rural people were given knowledge of crisis management.,english
ग्रामीण मानिसहरूलाई संकट व्यवस्थापनको ज्ञान दिइयो।,nepali
Rural people were given knowledge of crisis management.,english
ग्रामीण लोककेँ संकट प्रबंधनक ज्ञान देल गेल।,maithili
The waste from slaughtered chickens is taken to fish hatcheries.,english
कुखुरा काटेपछि निस्कने फोहोर माछाको ह्याचरीमा पुर्‍याइन्छ।,nepali
The waste from slaughtered chickens is taken to fish hatcheries.,english
कुक्कुर काटलाक बाद निकलए वाला फोहोर मछलिक हैचरीमे पहुँचाएल जाइत छै।,maithili
A midday meal program was started in the village school.,english
गाउँको विद्यालयमा मध्याह्न भोजन योजना सुरु गरियो।,nepali
A midday meal program was started in the village school.,english
गामक स्कूलमे मध्याह्न भोजन योजना शुरू कएल गेल।,maithili
Livestock farmers use grass or turf cutting machines.,english
घाँस वा दुबो काट्ने मेसिनको उपयोग पशुपालकहरूले गर्छन्।,nepali
Livestock farmers use grass or turf cutting machines.,english
घाँस वा दुब काटए वाला मशीनक उपयोग पशुपालक करैत छथि।,maithili
Farmers saved water through micro-irrigation.,english
सूक्ष्म सिँचाइले किसानहरूले पानीको बचत गरे।,nepali
Farmers saved water through micro-irrigation.,english
सूक्ष्म सिंचाई सँ किसान पानीक बचत केलनि।,maithili
The driver of a JCB must have a lot of patience.,english
जेसीबीको चालकले धेरै धैर्य राख्नुपर्छ।,nepali
The driver of a JCB must have a lot of patience.,english
जेसीबी चलावे वालाकेँ बहुत धैर्य राखए पड़ैत छै।,maithili
A cow's calf needs a lot of care.,english
गाईको बाछाको धेरै ध्यान राख्नुपर्छ।,nepali
A cow's calf needs a lot of care.,english
गाइक बाछाकेँ बहुत ध्यान राखए पड़ैत छै।,maithili
Many different types of natural materials are available on Earth.,english
पृथ्वीमा धेरै भिन्न-भिन्न प्रकारका प्राकृतिक सामग्री उपलब्ध छन्।,nepali
Many different types of natural materials are available on Earth.,english
पृथ्वी पर बहुत भिन्न-भिन्न प्रकारक प्राकृतिक सामग्री उपलब्ध अछि।,maithili
The government created the Pradhan Mantri Fasal Bima Yojana (Prime Minister's Crop Insurance Scheme) for farmers.,english
सरकारले किसानका लागि प्रधानमन्त्री फसल बीमा योजना बनायो।,nepali
The government created the Pradhan Mantri Fasal Bima Yojana (Prime Minister's Crop Insurance Scheme) for farmers.,english
सरकार किसान लेल प्रधानमंत्री फसल बीमा योजना बनेलकै।,maithili
The process of obtaining wool from sheep can be painful.,english
भेडाबाट ऊन प्राप्त गर्ने प्रक्रिया कष्टदायी हुन सक्छ।,nepali
The process of obtaining wool from sheep can be painful.,english
भेड़ सँ ऊन प्राप्त करएकेँ प्रक्रिया कष्टदायी भऽ सकैत छै।,maithili
The landlord hired many workers for the tea garden.,english
चिया बगानको लागि साहुकारले धेरै श्रमिकको नियुक्ति गर्यो।,nepali
The landlord hired many workers for the tea garden.,english
चिया बगान लेल साहूकार बहुत श्रमिककेँ नियुक्ति केलकै।,maithili
Rainwater is used in various types of work.,english
वर्षाको पानीको उपयोग विभिन्न प्रकारका काममा हुन्छ।,nepali
Rainwater is used in various types of work.,english
बरसातकेँ पानीक उपयोग विभिन्न प्रकारक काजमे होइत छै।,maithili
"This time, the flood destroyed a lot of crops.",english
बाढीले गर्दा यसपालि धेरै बाली नास भयो।,nepali
"This time, the flood destroyed a lot of crops.",english
बाढ़िकेँ कारण एहि बेर बहुत बाली नास भऽ गेल।,maithili
People used herbicide to clear the moss from their village pond.,english
मान्छेहरूले आफ्नो गाउँको पोखरीलाई झ्याउमुक्त बनाउन झ्याउनाशक औषधि प्रयोग गरे।,nepali
People used herbicide to clear the moss from their village pond.,english
लोक अपन गामक पोखरिकेँ झ्याउमुक्त बनावे लेल झ्याउनाशक दवाई प्रयोग केलनि।,maithili
Alpacas are found in large numbers in Peru.,english
पेरु देशमा अल्पाका धेरै संख्यामा पाइन्छ।,nepali
Alpacas are found in large numbers in Peru.,english
पेरू देशमे अल्पाका बहुत संख्यामे भेटैत छै।,maithili
Consuming less biofuel causes less damage to the environment.,english
जैविक इन्धनको खपत कम गर्दा वातावरणलाई कम क्षति हुन्छ।,nepali
Consuming less biofuel causes less damage to the environment.,english
जैविक ईंधनक खपत कम केला सँ वातावरणकेँ कम क्षति होइत छै।,maithili
Climate change affected the flowers a lot.,english
जलवायु परिवर्तनले फूललाई धेरै असर गर्यो।,nepali
Climate change affected the flowers a lot.,english
जलवायु परिवर्तन सँ फूलकेँ बहुत असर भेल।,maithili
Chemicals are needed to make paper.,english
कागज बनाउनको लागि रासायनिक पदार्थ चाहिन्छ।,nepali
Chemicals are needed to make paper.,english
कागज बनावे लेल रासायनिक पदार्थ चाही।,maithili
The government gave loans to farmers in Punjab for rice farming.,english
पंजाब राज्यमा धान खेतीको लागि सरकारले किसानलाई ऋण दियो।,nepali
The government gave loans to farmers in Punjab for rice farming.,english
पंजाब राज्यमे धान खेती लेल सरकार किसानकेँ ऋण देलकै।,maithili
Farmers have to work as laborers to repay the loan.,english
ऋण तिर्नको लागि किसानले ज्याला मजदुरी गर्नुपर्छ।,nepali
Farmers have to work as laborers to repay the loan.,english
ऋण चुकावे लेल किसानकेँ ज्याला मजदूरी करए पड़ैत छै।,maithili
Paper is also used as packing material.,english
प्याकिङको सामानको रूपमा पनि कागजको प्रयोग गरिन्छ।,nepali
Paper is also used as packing material.,english
पैकिंगकेँ सामानकेँ रूपमे सेहो कागजक प्रयोग कएल जाइत छै।,maithili
Seed banks have been established in rural areas of India.,english
भारतमा ग्रामीण क्षेत्रमा बीउ बैंकको स्थापना गरिएको छ।,nepali
Seed banks have been established in rural areas of India.,english
भारतमे ग्रामीण क्षेत्रमे बीउ बैंकक स्थापना कएल गेल छै।,maithili
Pure and cold water can be found in wells.,english
इनारबाट शुद्ध र चिसो पानी पाउन सकिन्छ।,nepali
Pure and cold water can be found in wells.,english
कुआँ सँ शुद्ध आ ठंडा पानी भेट सकैत अछि।,maithili
The job of the Agricultural Produce Market Committee is to determine fair prices.,english
कृषि उपज बजार समितिको काम उचित मूल्य निर्धारण गर्नु हो।,nepali
The job of the Agricultural Produce Market Committee is to determine fair prices.,english
कृषि उपज बाजार समितिक काज उचित मूल्य निर्धारण करनाइ होइत छै।,maithili
Sandy soil is considered a very good soil in India.,english
बलौटे माटो भारतमा धेरै राम्रो माटो मानिन्छ।,nepali
Sandy soil is considered a very good soil in India.,english
बलुआ माटि भारतमे बहुत नीक माटि मानल जाइत छै।,maithili
Wool is sheared from a sheep's body once a year.,english
भेडाको शरीरबाट वर्षमा एक पटक ऊन काटिन्छ।,nepali
Wool is sheared from a sheep's body once a year.,english
भेड़केँ शरीर सँ वर्षमे एक बेर ऊन काटल जाइत छै।,maithili
Good feed is necessary for cow's milk production.,english
राम्रो खाद्य पदार्थ गाईको दूध उत्पादनको लागि आवश्यक हुन्छ।,nepali
Good feed is necessary for cow's milk production.,english
नीक खाद्य पदार्थ गाईकेँ दूध उत्पादन लेल आवश्यक होइत छै।,maithili
Using biogas can conserve old biofuels.,english
बायो ग्यासको प्रयोगले पुरानो जैविक इन्धनको संरक्षण हुन सक्छ।,nepali
Using biogas can conserve old biofuels.,english
बायो गैसकेँ प्रयोग सँ पुरान जैविक ईंधनक संरक्षण भऽ सकैत छै।,maithili
The Ministry of Energy examined the negative effects of biofuels.,english
ऊर्जा मन्त्रालयले जैविक इन्धनको नकारात्मक असरको जाँच गर्यो।,nepali
The Ministry of Energy examined the negative effects of biofuels.,english
ऊर्जा मंत्रालय जैविक ईंधनक नकारात्मक असरक जाँच केलकै।,maithili
Germination is a natural and slow process.,english
अंकुराउनु एक प्राकृतिक र ढिलो प्रक्रिया हो।,nepali
Germination is a natural and slow process.,english
अंकुराएल एक प्राकृतिक आ ढील प्रक्रिया छी।,maithili
A leaf sensor is a type of device used for irrigation.,english
"पातको सेन्सर एक प्रकारको उपकरण हो, जसको प्रयोग सिँचाइको लागि हुन्छ।",nepali
A leaf sensor is a type of device used for irrigation.,english
"पातकेँ सेंसर एक प्रकारक उपकरण छी, जकर प्रयोग सिंचाई लेल होइत छै।",maithili
There was a fight in the family over ten kattha of land.,english
परिवारमा दश कट्ठा जमिनको लागि झगडा भयो।,nepali
There was a fight in the family over ten kattha of land.,english
परिवारमे दस कट्ठा जमीन लेल झगड़ा भेल।,maithili
Is there any variety where weeds don't grow?,english
कुनै यस्तो जात छ र जहाँ झारपात नउम्रियोस्?,nepali
Is there any variety where weeds don't grow?,english
कोनो एहन जात अछि जतय झारपात नहिं उगे?,maithili
He bought two kattha of land in the village.,english
उहाँले गाउँमा दुई कट्ठा जग्गा किन्नुभयो।,nepali
He bought two kattha of land in the village.,english
ओ गांउमे दू कट्ठा जमीन किनलनि।,maithili
"After the Green Revolution, the use of agricultural chemicals increased.",english
हरित क्रान्तिपछि कृषि रसायनको प्रयोगमा वृद्धि भयो।,nepali
"After the Green Revolution, the use of agricultural chemicals increased.",english
हरित क्रान्ति के बाद कृषि रसायन के प्रयोग मे बढोत्तरी भेल।,maithili
Indian Chemical Institute is a very big producer of agricultural chemicals.,english
भारत रसायन संस्थान कृषि रसायनको धेरै ठूलो उत्पादक हो।,nepali
Indian Chemical Institute is a very big producer of agricultural chemicals.,english
भारत रसायन संस्थान कृषि रसायन के बहुत पैघ उत्पादक अछि।,maithili
The increase in sea fish in the market has increased trade.,english
बजारमा समुद्री माछाको वृद्धिले व्यापारमा वृद्धि भयो।,nepali
The increase in sea fish in the market has increased trade.,english
बजार मे समुद्री मछली के बढोतरी से व्यापार मे बढोतरी भेल।,maithili
The agricultural equipment manufacturers organization manufactures modern equipment every year.,english
